Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
3.86e+09,Capacitance,2.82234e-12,-1.4903e-13,2.82234e-12
3.93333e+09,Resistance,2.05737,0.0478978,2.05737
3.93333e+09,Inductance,1.13055e-08,5.94524e-10,1.13055e-08
3.93333e+09,Conductance,0.00139503,-7.36657e-05,0.00139503
3.93333e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
4.00667e+09,Resistance,2.07626,0.0485665,2.07626
4.00667e+09,Inductance,1.13048e-08,5.94511e-10,1.13048e-08
4.00667e+09,Conductance,0.00142104,-7.50843e-05,0.00142104
4.00667e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
4.08e+09,Resistance,2.0949,0.0486732,2.0949
4.08e+09,Inductance,1.1304e-08,5.94486e-10,1.1304e-08
4.08e+09,Conductance,0.00144706,-7.63619e-05,0.00144706
4.08e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
4.15333e+09,Resistance,2.11343,0.0492323,2.11343
4.15333e+09,Inductance,1.13033e-08,5.94476e-10,1.13033e-08
4.15333e+09,Conductance,0.00147308,-7.77902e-05,0.00147308
4.15333e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
4.22667e+09,Resistance,2.13189,0.0496429,2.13189
4.22667e+09,Inductance,1.13026e-08,5.94462e-10,1.13026e-08
4.22667e+09,Conductance,0.00149909,-7.91372e-05,0.00149909
4.22667e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
4.3e+09,Resistance,2.15042,0.0502255,2.15042
4.3e+09,Inductance,1.13019e-08,5.94438e-10,1.13019e-08
4.3e+09,Conductance,0.00152503,-8.05454e-05,0.00152503
4.3e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
4.37333e+09,Resistance,2.16856,0.0505842,2.16856
4.37333e+09,Inductance,1.13012e-08,5.94417e-10,1.13012e-08
4.37333e+09,Conductance,0.00155105,-8.18994e-05,0.00155105
4.37333e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
4.44667e+09,Resistance,2.18645,0.0508544,2.18645
4.44667e+09,Inductance,1.13005e-08,5.94411e-10,1.13005e-08
4.44667e+09,Conductance,0.00157706,-8.32391e-05,0.00157706
4.44667e+09,Capacitance,2.82235e-12,-1.49033e-13,2.82235e-12
4.52e+09,Resistance,2.20424,0.0512822,2.20424
4.52e+09,Inductance,1.12999e-08,5.94392e-10,1.12999e-08
4.52e+09,Conductance,0.00160306,-8.46282e-05,0.00160306
4.52e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
4.59333e+09,Resistance,2.22164,0.0518256,2.22164
4.59333e+09,Inductance,1.12993e-08,5.94384e-10,1.12993e-08
4.59333e+09,Conductance,0.00162913,-8.60324e-05,0.00162913
4.59333e+09,Capacitance,2.82235e-12,-1.49033e-13,2.82235e-12
